clean_name,obj_name,campaign,ap_start,ap_end,count,EPIC_ID,main_type,sub_type,new_obj_name,alternate_names,PROPOSERS,IDS,Name,Desig,Family,CSource,Class,DiamSource,DiamFlag,Diam,HSource,H,HBand,GSource,G,AlbSource,AlbFlag,Albedo,PFlag,Period,PerDesc,AmpFlag,AmpMin,AmpMax,U,Notes,Pole,IsBinary,WideField,SparseData,NotesEx,Private
4057,TROJAN (4057),6,200053996,200054062,67,NA,asteroid-Trojan,-4057,TROJAN (4057),1985 TQ|4057|Demophon,Ryan,GO6025,Demophon,1985 TQ,TR-J,A,C,C,-,53.16,M,10.1,V,M,0.15,A,-,0.057,-,29.82,-,-,0.21,0.23,3-,-,-,N,N,N,N,N
4138,TROJAN (4138),6,200054063,200054180,118,NA,asteroid-Trojan,-4138,TROJAN (4138),1973 SM|4138|Kalchas,Ryan,GO6025,Kalchas,1973 SM,TR-J,A,C,C,-,53.16,M,10.1,V,M,0.15,A,-,0.057,-,29.2,-,-,0.1,0.4,3,-,-,N,N,N,N,N
5028,TROJAN (5028),6,200054674,200054908,235,NA,asteroid-Trojan,-5028,TROJAN (5028),1988 BY1|5028|Halaesus,Ryan,GO6025,Halaesus,1988 BY1,TR-J,A,C,C,-,50.77,M,10.2,V,M,0.15,A,-,0.057,-,24.937,-,-,0.19,0.29,3,-,-,N,N,N,N,N
5123,TROJAN (5123),6,200054909,200055353,445,NA,asteroid-Trojan,-5123,TROJAN (5123),1989 BL|5123,Ryan,GO6025,1989 BL,1989 BL,TR-J,A,C,C,-,55.67,M,10,V,M,0.15,A,-,0.057,-,9.883,-,-,0.4,0.45,3,-,-,N,N,N,N,N
5244,TROJAN (5244),6,200055721,200055881,161,NA,asteroid-Trojan,-5244,TROJAN (5244),1973 SQ1|5244|Amphilochos,Ryan,GO6025,Amphilochos,1973 SQ1,TR-J,A,C,C,-,35.79,T,10.96,V,G,0.965,A,-,0.057,-,9.766,-,-,0.51,0.79,3,-,-,N,N,N,N,N
5436,TROJAN (5436),6,200055882,200056266,385,NA,asteroid-Trojan,-5436,TROJAN (5436),1990 DK|5436|Eumelos,Ryan,GO6025,Eumelos,1990 DK,TR-J,A,C,C,-,46.3,M,10.4,V,M,0.15,A,-,0.057,-,38.41,-,-,0.4,0.68,3,A,-,N,N,N,N,N
5652,TROJAN (5652),6,200056267,200056398,132,NA,asteroid-Trojan,-5652,TROJAN (5652),1992 HS3|5652|Amphimachus,Ryan,GO6025,Amphimachus,1992 HS3,TR-J,A,C,C,-,53.16,M,10.1,V,M,0.15,A,-,0.057,-,8.374,-,-,0.2,0.22,2+,H,-,N,N,Y,N,N
57041,TROJAN (57041),6,200056399,200056649,251,NA,asteroid-Trojan,-57041,TROJAN (57041),2001 EN12|57041,Ryan,GO6025,2001 EN12,2001 EN12,TR-J,A,C,C,-,21.16,M,12.1,V,M,0.15,A,-,0.057,-,8.562,-,-,0.47,0.52,2+,H,-,N,N,Y,N,N
58480,TROJAN (58480),6,200056650,200057035,386,NA,asteroid-Trojan,-58480,TROJAN (58480),1996 RJ33|58480,Ryan,GO6025,1996 RJ33,1996 RJ33,TR-J,A,C,C,-,19.3,M,12.3,V,M,0.15,A,-,0.057,-,32.967,-,-,0.13,0.14,2,H,-,N,N,Y,N,N
59049,TROJAN (59049),6,200057036,200057345,310,NA,asteroid-Trojan,-59049,TROJAN (59049),1998 TC31|59049,Ryan,GO6025,1998 TC31,1998 TC31,TR-J,A,C,C,-,21.21,T,12.09,V,G,0.28,A,-,0.057,-,6.173,-,-,0.65,0.69,2+,-,-,N,N,Y,N,N
63239,TROJAN (63239),6,200057346,200057597,252,NA,asteroid-Trojan,-63239,TROJAN (63239),2001 BD25|63239,Ryan,GO6025,2001 BD25,2001 BD25,TR-J,A,C,C,-,22.16,M,12,V,M,0.15,A,-,0.057,-,60.075,-,-,0.52,0.54,2+,H,-,N,N,Y,N,N
65210,TROJAN (65210),6,200057598,200057827,230,NA,asteroid-Trojan,-65210,TROJAN (65210),2002 EG|65210|Stichius,Ryan,GO6025,Stichius,2002 EG,TR-J,A,C,C,-,22.16,M,12,V,M,0.15,A,-,0.057,-,35.12,-,-,0.35,0.41,2+,H,-,N,N,Y,N,N
